name,surname,born,died,birthplace,motivation,category,year
Wilhelm Conrad,Röntgen,1845-03-27,1923-02-10,Prussia (now Germany),in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,physics,1901
Hendrik A.,Lorentz,1853-07-18,1928-02-04,the Netherlands,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,physics,1902
Pieter,Zeeman,1865-05-25,1943-10-09,the Netherlands,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,physics,1902
Henri,Becquerel,1852-12-15,1908-08-25,France,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,physics,1903
Pierre,Curie,1859-05-15,1906-04-19,France,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,physics,1903
Marie,Curie,1867-11-07,1934-07-04,Russian Empire (now Poland),in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,physics,1903
Marie,Curie,1867-11-07,1934-07-04,Russian Empire (now Poland),in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,physics,1903
Lord,Rayleigh,1842-11-12,1919-06-30,United Kingdom,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,physics,1904
Philipp,Lenard,1862-06-07,1947-05-20,Hungary (now Slovakia),for his work on cathode rays,physics,1905
J.J.,Thomson,1856-12-18,1940-08-30,United Kingdom,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,physics,1906
Albert A.,Michelson,1852-12-19,1931-05-09,Prussia (now Poland),for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,physics,1907
Gabriel,Lippmann,1845-08-16,1921-07-13,Luxembourg,for his method of reproducing colours photographically based on the phenomenon of interference,physics,1908
Guglielmo,Marconi,1874-04-25,1937-07-20,Italy,in recognition of their contributions to the development of wireless telegraphy,physics,1909
Ferdinand,Braun,1850-06-06,1918-04-20,Hesse-Kassel (now Germany),in recognition of their contributions to the development of wireless telegraphy,physics,1909
Johannes Diderik,van der Waals,1837-11-23,1923-03-08,the Netherlands,for his work on the equation of state for gases and liquids,physics,1910
Wilhelm,Wien,1864-01-13,1928-08-30,Prussia (now Russia),for his discoveries regarding the laws governing the radiation of heat,physics,1911
Gustaf,Dalén,1869-11-30,1937-12-09,Sweden,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys,physics,1912
Heike,Kamerlingh Onnes,1853-09-21,1926-02-21,the Netherlands,"for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium",physics,1913
Max,von Laue,1879-10-09,1960-04-23,Germany,for his discovery of the diffraction of X-rays by crystals,physics,1914
William,Bragg,1862-07-02,1942-03-12,United Kingdom,for their services in the analysis of crystal structure by means of X-rays,physics,1915
Lawrence,Bragg,1890-03-31,1971-07-01,Australia,for their services in the analysis of crystal structure by means of X-rays,physics,1915
Charles Glover,Barkla,1877-06-07,1944-10-23,United Kingdom,for his discovery of the characteristic R&ouml;ntgen radiation of the elements,physics,1917
Max,Planck,1858-04-23,1947-10-04,Schleswig (now Germany),in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta,physics,1918
Johannes,Stark,1874-04-15,1957-06-21,Germany,for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields,physics,1919
Charles Edouard,Guillaume,1861-02-15,1938-06-13,Switzerland,in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys,physics,1920
Albert,Einstein,1879-03-14,1955-04-18,Germany,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",physics,1921
Niels,Bohr,1885-10-07,1962-11-18,Denmark,for his services in the investigation of the structure of atoms and of the radiation emanating from them,physics,1922
Robert A.,Millikan,1868-03-22,1953-12-19,USA,for his work on the elementary charge of electricity and on the photoelectric effect,physics,1923
Manne,Siegbahn,1886-12-03,1978-09-26,Sweden,for his discoveries and research in the field of X-ray spectroscopy,physics,1924
James,Franck,1882-08-26,1964-05-21,Germany,for their discovery of the laws governing the impact of an electron upon an atom,physics,1925
Gustav,Hertz,1887-07-22,1975-10-30,Germany,for their discovery of the laws governing the impact of an electron upon an atom,physics,1925
Jean Baptiste,Perrin,1870-09-30,1942-04-17,France,"for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium",physics,1926
